setting,acc,f1,auc,missing_only_acc,missing_only_f1,missing_only_auc
(1) reference: 결측 시뮬레이션 없음 (ceiling),0.8876074420628876,0.6788933789244638,0.9403275818668619,0.8755043227665706,0.6896551724137931,0.9381110127461899
"(2) naive: 결측 노드 feature=0, flag 없음",0.874007180937874,0.6456548347613219,0.9273429216534324,0.8403458213256484,0.6147426981919333,0.9040751634920181
(3) MPLMM v2: 결측 노드 feature=0 + 학습된 flag를 GNN 입력에 주입,0.8803177020998804,0.6499045194143858,0.9262800636170163,0.8472622478386167,0.6153846153846154,0.9009481109175543
