setting,f1_mean,f1_std,missing_f1_mean,missing_f1_std,missing_acc_mean,missing_acc_std,missing_auc_mean,missing_auc_std,f1_per_seed,missing_f1_per_seed
(1) reference (ceiling),0.6956,0.0048,0.7063,0.0048,0.8919,0.0080,0.9429,0.0024,0.6924;0.6921;0.7024,0.6996;0.7107;0.7085
(2) naive (feature=0, R-U-R 제거),0.6380,0.0142,0.5039,0.0180,0.8131,0.0256,0.8342,0.0051,0.6429;0.6187;0.6524,0.5243;0.4804;0.5069
(3) static prompt (feature=0, R-U-R 제거 + 동일 벡터),0.6348,0.0115,0.5055,0.0177,0.8134,0.0038,0.8355,0.0073,0.6420;0.6186;0.6438,0.5237;0.4814;0.5114
(4) conditional prompt (feature=0, R-U-R 제거 + feat_repr 기반 생성),0.6390,0.0086,0.5189,0.0057,0.8230,0.0095,0.8323,0.0088,0.6482;0.6275;0.6412,0.5137;0.5162;0.5269
