setting,acc,f1,auc,missing_only_acc,missing_only_f1,missing_only_auc
(1) reference: 결측 시뮬레이션 없음 (ceiling),0.9105646828419106,0.7188782489740082,0.9412805022235444,0.9089337175792507,0.750788643533123,0.9450766770425792
(2) naive: 결측 노드 graph repr = 0,0.8619301490588619,0.6257741079327632,0.9202800216633487,0.7337175792507205,0.47619047619047616,0.8183667932718394
(3) MPLMM-lite: 결측 노드 graph repr = 학습된 prompt,0.8647590033728647,0.6281782829793598,0.9226495934308183,0.7429394812680116,0.4765258215962441,0.8217865608133192
